number,ANZSCO_Code,Occupation_title
895,842311,Beef Cattle Farm Worker
896,842312,Cattle and Sheep Farm Worker
897,842313,Dairy Cattle Farm Worker
898,842314,Livestock Husbandry Worker
899,842315,Piggery Farm Worker
900,842316,Poultry Farm Worker
901,842317,Sheep Farm Worker
902,843111,Forestry Worker
903,843112,Logging Assistant
904,843113,Tree Faller
905,843411,Pest Control Technician
906,899211,Deck Hand
907,899212,Fishing Hand
908,899411,Motor Vehicle Parts and Accessories Fitter (General)
909,899412,Autoglazier
910,899413,Exhaust and Muffler Repairer
911,899414,Radiator Repairer
912,899415,Tyre Fitter
913,899511,Printer's Assistant
914,899512,Printing Table Worker
