Number,occupation,Core_Competency,Score,Proficiency_Level,Tasks
2568,Post Office Manager,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
2569,Post Office Manager,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2570,Post Office Manager,Oral communication,6,Intermediate,Give instructions to a lost driver
2571,Call or Contact Centre Manager,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2572,Call or Contact Centre Manager,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
2573,Call or Contact Centre Manager,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
2574,Call or Contact Centre Manager,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
2575,Call or Contact Centre Manager,Writing,5,Intermediate,Prepare a standard operating procedures document
2576,Call or Contact Centre Manager,Reading,6,Intermediate,Read a memo from management describing new personnel policies
2577,Call or Contact Centre Manager,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
2578,Call or Contact Centre Manager,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2579,Call or Contact Centre Manager,Oral communication,6,Intermediate,Give instructions to a lost driver
2580,Call or Contact Centre Manager,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
2581,Customer Service Manager,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2582,Customer Service Manager,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
2583,Customer Service Manager,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
2584,Customer Service Manager,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
2585,Customer Service Manager,Writing,5,Intermediate,Prepare a standard operating procedures document
2586,Customer Service Manager,Reading,6,Intermediate,Read a memo from management describing new personnel policies
2587,Customer Service Manager,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
2588,Customer Service Manager,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2589,Customer Service Manager,Oral communication,6,Intermediate,Give instructions to a lost driver
2590,Customer Service Manager,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
2591,Conference and Event Organiser,Teamwork,9,High,"Work with a range of subject matter experts, with diverse perspectives, to achieve a challenging goal."
2592,Conference and Event Organiser,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
2593,Conference and Event Organiser,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2594,Conference and Event Organiser,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
2595,Conference and Event Organiser,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
2596,Conference and Event Organiser,Writing,6,Intermediate,Write a memo to staff outlining new directives
2597,Conference and Event Organiser,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
2598,Conference and Event Organiser,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
2599,Conference and Event Organiser,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
2600,Conference and Event Organiser,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
2601,Fleet Manager,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
2602,Fleet Manager,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2603,Fleet Manager,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2604,Fleet Manager,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
2605,Fleet Manager,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
2606,Fleet Manager,Writing,7,Intermediate,Write a detailed literature review
2607,Fleet Manager,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
2608,Fleet Manager,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
2609,Fleet Manager,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
2610,Fleet Manager,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
2611,Transport Company Manager,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
2612,Transport Company Manager,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2613,Transport Company Manager,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2614,Transport Company Manager,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
2615,Transport Company Manager,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
2616,Transport Company Manager,Writing,7,Intermediate,Write a detailed literature review
2617,Transport Company Manager,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
2618,Transport Company Manager,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
2619,Transport Company Manager,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
2620,Transport Company Manager,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
2621,Facilities Manager,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
2622,Facilities Manager,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2623,Facilities Manager,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
2624,Facilities Manager,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
2625,Facilities Manager,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
2626,Facilities Manager,Writing,6,Intermediate,Write a memo to staff outlining new directives
2627,Facilities Manager,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
2628,Facilities Manager,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
2629,Facilities Manager,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2630,Facilities Manager,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
2631,Financial Institution Branch Manager,Digital engagement,8,High,"Use Enterprise Resource Planning software to monitor transactional data from multiple sources including accounting, procurement and human resources and visualise this data for a company’s strategic plan"
2632,Financial Institution Branch Manager,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2633,Financial Institution Branch Manager,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
2634,Financial Institution Branch Manager,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
2635,Financial Institution Branch Manager,Writing,7,Intermediate,Write a detailed literature review
2636,Financial Institution Branch Manager,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
2637,Financial Institution Branch Manager,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
2638,Financial Institution Branch Manager,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
2639,Financial Institution Branch Manager,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
2640,Financial Institution Branch Manager,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
2641,Actor,Numeracy,1,Basic,Identify the numerical position of items on a shelf from left to right
2642,Actor,Digital engagement,3,Basic,Enter information into a database
2643,Actor,Teamwork,10,High,"Perform an unscripted, live improvisation show with other actors"
2644,Actor,Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work
2645,Actor,Writing,6,Intermediate,Write a memo to staff outlining new directives
2646,Actor,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
2647,Actor,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
2648,Actor,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2649,Actor,Oral communication,6,Intermediate,Give instructions to a lost driver
2650,Actor,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
2651,Dancer or Choreographer,Numeracy,2,Basic,Check the weight and length of a product against a job ticket
2652,Dancer or Choreographer,Digital engagement,2,Basic,Send a short and simple reply to an email communication using a digital device
2653,Dancer or Choreographer,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
2654,Dancer or Choreographer,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2655,Dancer or Choreographer,Writing,5,Intermediate,Prepare a standard operating procedures document
2656,Dancer or Choreographer,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
2657,Dancer or Choreographer,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
2658,Dancer or Choreographer,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
2659,Dancer or Choreographer,Oral communication,6,Intermediate,Give instructions to a lost driver
2660,Dancer or Choreographer,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
2661,Entertainer or Variety Artist,Numeracy,1,Basic,Identify the numerical position of items on a shelf from left to right
2662,Entertainer or Variety Artist,Digital engagement,3,Basic,Enter information into a database
2663,Entertainer or Variety Artist,Teamwork,10,High,"Perform an unscripted, live improvisation show with other actors"
2664,Entertainer or Variety Artist,Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work
2665,Entertainer or Variety Artist,Writing,6,Intermediate,Write a memo to staff outlining new directives
2666,Entertainer or Variety Artist,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
2667,Entertainer or Variety Artist,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
2668,Entertainer or Variety Artist,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2669,Entertainer or Variety Artist,Oral communication,6,Intermediate,Give instructions to a lost driver
2670,Entertainer or Variety Artist,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
2671,Composer,Numeracy,3,Basic,Count the amount of change to be given to a customer
2672,Composer,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2673,Composer,Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work
2674,Composer,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
2675,Composer,Teamwork,6,Intermediate,Initiate team problem solving sessions
2676,Composer,Writing,6,Intermediate,Write a memo to staff outlining new directives
2677,Composer,Reading,6,Intermediate,Read a memo from management describing new personnel policies
2678,Composer,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
2679,Composer,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2680,Composer,Oral communication,6,Intermediate,Give instructions to a lost driver
2681,Musician (Instrumental),Numeracy,3,Basic,Count the amount of change to be given to a customer
2682,Musician (Instrumental),Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2683,Musician (Instrumental),Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
2684,Musician (Instrumental),Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
2685,Musician (Instrumental),Writing,5,Intermediate,Prepare a standard operating procedures document
2686,Musician (Instrumental),Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
2687,Musician (Instrumental),Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
2688,Musician (Instrumental),Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2689,Musician (Instrumental),Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
2690,Musician (Instrumental),Initiative and innovation,7,Intermediate,Coordinate sales campaigns
2691,Singer,Numeracy,1,Basic,Identify the numerical position of items on a shelf from left to right
2692,Singer,Digital engagement,3,Basic,Enter information into a database
2693,Singer,Teamwork,9,High,"Work with a range of subject matter experts, with diverse perspectives, to achieve a challenging goal."
2694,Singer,Writing,5,Intermediate,Prepare a standard operating procedures document
2695,Singer,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
2696,Singer,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
2697,Singer,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
2698,Singer,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
2699,Singer,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
2700,Singer,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
2701,Photographer,Numeracy,3,Basic,Count the amount of change to be given to a customer
2702,Photographer,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2703,Photographer,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2704,Photographer,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
2705,Photographer,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
2706,Photographer,Writing,5,Intermediate,Prepare a standard operating procedures document
2707,Photographer,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
2708,Photographer,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
2709,Photographer,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2710,Photographer,Oral communication,6,Intermediate,Give instructions to a lost driver
2711,Artistic Director,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2712,Artistic Director,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2713,Artistic Director,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
2714,Artistic Director,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
2715,Artistic Director,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
2716,Artistic Director,Writing,6,Intermediate,Write a memo to staff outlining new directives
2717,Artistic Director,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
2718,Artistic Director,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
2719,Artistic Director,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2720,Artistic Director,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
2721,Media Producer (excluding Video),Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
2722,Media Producer (excluding Video),Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2723,Media Producer (excluding Video),Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2724,Media Producer (excluding Video),Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
2725,Media Producer (excluding Video),Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
2726,Media Producer (excluding Video),Writing,7,Intermediate,Write a detailed literature review
2727,Media Producer (excluding Video),Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
2728,Media Producer (excluding Video),Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
2729,Media Producer (excluding Video),Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
2730,Media Producer (excluding Video),Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
2731,Radio Presenter,Numeracy,3,Basic,Count the amount of change to be given to a customer
2732,Radio Presenter,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2733,Radio Presenter,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2734,Radio Presenter,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
2735,Radio Presenter,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
2736,Radio Presenter,Writing,7,Intermediate,Write a detailed literature review
2737,Radio Presenter,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
2738,Radio Presenter,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
2739,Radio Presenter,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2740,Radio Presenter,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
2741,Author,Numeracy,2,Basic,Check the weight and length of a product against a job ticket
2742,Author,Teamwork,3,Basic,Accept and act on guidance from a mentor
2743,Author,Writing,9,High,Write a novel for publication
2744,Author,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
2745,Author,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2746,Author,Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work
2747,Author,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
2748,Author,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
2749,Author,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
2750,Author,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
2751,Book or Script Editor,Writing,8,High,Write a legally binding contract for services provided by one business to another
2752,Book or Script Editor,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
2753,Book or Script Editor,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2754,Book or Script Editor,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2755,Book or Script Editor,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
2756,Book or Script Editor,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
2757,Book or Script Editor,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
2758,Book or Script Editor,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
2759,Book or Script Editor,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2760,Book or Script Editor,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
2761,"Art Director (Film, Television or Stage)",Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work
2762,"Art Director (Film, Television or Stage)",Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2763,"Art Director (Film, Television or Stage)",Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
2764,"Art Director (Film, Television or Stage)",Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
2765,"Art Director (Film, Television or Stage)",Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
2766,"Art Director (Film, Television or Stage)",Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
2767,"Art Director (Film, Television or Stage)",Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
2768,"Art Director (Film, Television or Stage)",Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
2769,"Art Director (Film, Television or Stage)",Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
2770,"Art Director (Film, Television or Stage)",Writing,6,Intermediate,Write a memo to staff outlining new directives
2771,"Director (Film, Television, Radio or Stage)",Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work
2772,"Director (Film, Television, Radio or Stage)",Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2773,"Director (Film, Television, Radio or Stage)",Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
2774,"Director (Film, Television, Radio or Stage)",Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
2775,"Director (Film, Television, Radio or Stage)",Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
2776,"Director (Film, Television, Radio or Stage)",Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
2777,"Director (Film, Television, Radio or Stage)",Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
2778,"Director (Film, Television, Radio or Stage)",Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
2779,"Director (Film, Television, Radio or Stage)",Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
2780,"Director (Film, Television, Radio or Stage)",Writing,6,Intermediate,Write a memo to staff outlining new directives
2781,Director of Photography,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2782,Director of Photography,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2783,Director of Photography,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
2784,Director of Photography,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
2785,Director of Photography,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
2786,Director of Photography,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
2787,Director of Photography,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
2788,Director of Photography,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
2789,Director of Photography,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
2790,Director of Photography,Writing,6,Intermediate,Write a memo to staff outlining new directives
2791,Film and Video Editor,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2792,Film and Video Editor,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2793,Film and Video Editor,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
2794,Film and Video Editor,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
2795,Film and Video Editor,Teamwork,6,Intermediate,Initiate team problem solving sessions
2796,Film and Video Editor,Writing,5,Intermediate,Prepare a standard operating procedures document
2797,Film and Video Editor,Reading,6,Intermediate,Read a memo from management describing new personnel policies
2798,Film and Video Editor,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
2799,Film and Video Editor,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2800,Film and Video Editor,Oral communication,6,Intermediate,Give instructions to a lost driver
2801,Program Director (Television or Radio),Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2802,Program Director (Television or Radio),Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2803,Program Director (Television or Radio),Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
2804,Program Director (Television or Radio),Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
2805,Program Director (Television or Radio),Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
2806,Program Director (Television or Radio),Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
2807,Program Director (Television or Radio),Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2808,Program Director (Television or Radio),Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
2809,Program Director (Television or Radio),Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
2810,Program Director (Television or Radio),Writing,6,Intermediate,Write a memo to staff outlining new directives
2811,Stage Manager,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2812,Stage Manager,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2813,Stage Manager,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
2814,Stage Manager,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
2815,Stage Manager,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
2816,Stage Manager,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
2817,Stage Manager,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
2818,Stage Manager,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
2819,Stage Manager,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
2820,Stage Manager,Writing,6,Intermediate,Write a memo to staff outlining new directives
2821,Technical Director,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2822,Technical Director,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2823,Technical Director,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
2824,Technical Director,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
2825,Technical Director,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
2826,Technical Director,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
2827,Technical Director,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2828,Technical Director,Reading,6,Intermediate,Read a memo from management describing new personnel policies
2829,Technical Director,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
2830,Technical Director,Writing,6,Intermediate,Write a memo to staff outlining new directives
2831,Video Producer,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2832,Video Producer,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2833,Video Producer,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
2834,Video Producer,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
2835,Video Producer,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
2836,Video Producer,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
2837,Video Producer,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
2838,Video Producer,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
2839,Video Producer,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
2840,Video Producer,Writing,7,Intermediate,Write a detailed literature review
2841,Copywriter,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
2842,Copywriter,Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work
2843,Copywriter,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
2844,Copywriter,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
2845,Copywriter,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
2846,Copywriter,Writing,7,Intermediate,Write a detailed literature review
